label,sentence1,sentence2
1,Two backpackers look at scenic mountains.,Two guys are carrying things on their back.
1,An airplane flying over a fence with a few bystanders watching it as it approaches its landing.,The airplane is heavy
1,Group of people stand near a fence watching a plane fly over them,Group of people standing outside
1,a girl in a pumpkin dress sitting at a table.,There is a girl in a pumpkin dress sitting at a table.
1,Three individuals are wearing tight blue nylon suits with one instructor in all black with a ponytail assisting them with putting on harnesses.,Three individuals are wearing tight blue nylon suits.
1,A band of young musicians are playing an intimate concert to a small crowd in an outdoor courtyard.,a band is playing
1,A live band on a lawn jamming out.,People are playing music.
1,"A young lady walking down the street wearing a black jacket, sunglasses, sneakers, jeans, & gloves.",A young lady is walking down the street.
1,A man with a tattoo is wearing sunglasses while holding a small boy.,There is a man with body art who is holding a young person.
1,A mother and her daughter are both wearing heels standing outside in a crowd on a brick pavement looking out at the street in amazement.,There are men on the brick pavement.
1,A surgeon is performing an open surgery.,A doctor is doing surgery.
1,"A single runner, clothed in appropriate attire, jogging on a sidewalk next to a body of water, with buildings in the backdrop on the other side of the water.","A jogger, dressed for jogging, jogs on a sidewalk near water."
1,a boy walks through the water.,A boy walks on water.
1,A woman is cleaning an outdoor pool.,There is a pool outside.
1,A man and woman showing a small child how to use a gun.,A couple teaching a kid on firearm use
1,A crowd of interested people surrounds a man swinging a sledgehammer.,A man swinging a sledgehammer.
1,"Small boy hugged by person in bee costume, blurry urban background.",The boy is giving a hug.
1,A treat vendor is standing in the sun while others sit in the shade under umbrellas.,A vendor is outside with other people.
1,Young blond girl holding chopsticks looks with red eyes at camera while another girl in the background looks at food.,The girl is touching an object.
1,A lone man standing a rock shore looking downward at a inland body of water with a blue ocean or other large body of water behind him extending into the horizon of a blue sky.,You can observe some water in the frame.
1,A man about to smash something with a very large sledgehammer.,the sledgehammer is large
1,Four people are bandaging a head wound.,People are bandaging an injured head.
1,Man observes a wavelength given off by an electronic device.,The man is examining what wavelength is given off by the device.
2,A bridesmaid gives a toast with a microphone while two other bridesmaids and a gentleman look on.,A bridesmaid is telling a story about the bride's childhood.
2,A balding man is getting his shoes cleaned on a street corner.,An old man getting his shoes shined.
2,A group of young men in sports uniforms from two opposing teams are in vigorous play on a grassy field.,Men play soccer on the field
2,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,A small group of adults and children stand happily on a cobblestone street.
2,A woman looking through what appears to be a telescope.,An female astronamer looking toward the stars through her telescope.
2,Four girls look at objects under a microscope.,Four sad girls look at objects under a microscope.
2,Two ladies looking for bread to purchase.,The women are dating.
2,Two men boxing a ring while one boxer is hitting the other.,They are sports rivals.
2,A race car sits in the pits.,The car is being repaired.
2,Grading and pricing fish in an open air fish market.,A fresh catch right off the boat has been delivered for sale to the market.
2,"On stage, the innards of a piano are shown next to a man at a desk who is working on electronics, while a long-haired man is looking at a screen which shows ""53:11"".",Then men are performing a play.
2,"Two brown and white dogs, one jumping over a log while the one behind runs through the grass.",They are playing with each other.
2,The lady wearing a red coat is giving a speech.,Lady give a speech in the House of Representatives.
2,A nurse examines equipment in the operating room.,A nurse is in training.
2,An old man and lady in a white uniform is standing next to a man in black playing an instrument.,An old man and his nurse are listening to the musician play.
2,Golfer celebrates after a shot he has made.,A golfer is competing in an important tournament.
2,A dog gnawing on a bone.,A dog found a bone
2,A man carrying a bag from a stick is walking down the sidewalk.,A man is walking to the train station.
2,Young male in blue shirt and tan pants rollerblading.,The young man is at the skating rink.
2,A woman swinging a tennis racket on an outdoor court.,A woman is enjoying a game of tennis with her best friend.
2,"A firefighter, in full uniform, looks off into the distance.",The firefighter is going to put out a fire.
2,"An entertainer in a black shirt with a red tie and red suspenders, in Toronto, is playing with fire.",A fire eater is performing in front of a crowd in Toronto.
2,A woman in a pink shirt is painting the last two stars on a painting of the American flag.,The woman is using different colors
0,A barefooted adolescent boy in a yellow shirt reaching the top of a small skateboarding ramp.,the boy is flying a helicopter
0,A man waterskies with a life jacket.,Hitler rides a jetski in this Kawasaki advertisement.
0,A group of children enjoy their time on the beach.,A group of adults are swimming at the beach.
0,"A small baby, possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves.",The small baby is in it's crib sound asleep.
0,An asian woman sitting outside an outdoor market stall.,A woman sitting in an indoor market.
0,An older gentleman enjoys a scenic stroll through the countryside.,A pirate boards the spaceship.
0,A middle-aged man is sitting indian style outside holding a folded paper in his hands.,A middle aged man is sitting on a stool in a bar.
0,"Several children are standing with plates full of food under a shelter, watching a man in a purple shirt serving good.",The children are outside playing soccer.
0,"This mother and her daughter and granddaughter are having car trouble, and the poor little girl looks hot out in the heat.",The family is driving safe and sound while the little girl is asleep.
0,A hispanic fruit market with many different fruits and vegetables in view on a city street with a man passing the store dressed in dark pants and a hoodie.,A fish market is on the docks
0,Three children dressed in winter clothes are walking through the woods while pushing cargo along.,Three childre are dressed in summer clothes.
0,Five people are sitting on horses at a rodeo.,Bandits are sitting on horses as they prepare for a robbery.
0,"Nine women in white robes with hoods walk on plush, green grass.",The woman is alone and asleep in her bedroom.
0,"A woman holds her child out of a red window, next to a Color TV sign.",The TV holds a woman who holds a child.
0,A construction worker is standing on a crane placing a large arm on top of a stature in progress.,Nobody is standing
0,"Two Asian children, a boy and a girl, the girl looking squarely at the camera and the boy making a face.",the children are sleeping in their rooms
0,A man is jumping unto his filthy bed.,The man is on the moon.
0,A gentlemen dressed in a purple shirt with a red apron selling items to eat at a sport event held during the day in the summer time.,There is a person selling food inside a fancy restaurant.
0,"Multiple women are wearing middle eastern outfits of gold, blue, yellow and red and performing a dance.",The woman is alone and asleep in her canoe on the moon.
0,a couple is walking down the sidewalk with their dog.,A couple is walking their cat to the vet.
0,A crowd watches a group of people dressed in yellow shirts perform.,Spectators watching a group of dolphins perform.
0,A woman in black clothing runs down the street barefoot next to two people on bicycles and a female runner.,The woman is walking down the street with high heels.
0,A man in a Santa Claus costume is sitting on a wooden chair holding a microphone and a stringed instrument.,The man is swimming at the beach.